Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C4, C6, C7, C8, C9",0201,11,100n,
"C14, C15",0201,2,15p,
"C16, C17, C18",0402,3,10u,
"C3, C5",0402,2,1u,
"D1, D2, D3, D4, D5, D6",0201,6,LED,
D7,Schottly new SBR2U30P1,1,D_Schottky,
J1,Type-C,1,USB_C_Receptacle,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
J3,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Socket,
"R1, R2",0402,2,27,
"R10, R5, R6, R7, R8, R9",0402,6,470,
"R11, R12",0402,2,5.1k,
"R3, R4",0402,2,1k,
"SW1, SW2",Tactil Switch,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,~,
U3,3pin regulator,1,NCP1117-3.3_TO252,
Y1,12MHz,1,Crystal_GND24,
