Designator,Mid X,Mid Y,Rotation,Layer
C1,108.940589,-49.937279,270.0,top
C10,105.54,-53.115,90.0,top
C11,110.0,-50.88,90.0,top
C12,114.625,-51.45,270.0,top
C13,106.74,-47.08,0.0,top
C14,108.68,-63.395,270.0,top
C15,110.2,-65.355,90.0,top
C16,112.03,-64.77,270.0,top
C17,117.5,-47.86,180.0,top
C18,117.775,-52.25,0.0,top
C2,113.44,-62.85,90.0,top
C3,114.66,-48.88,270.0,top
C4,108.42,-47.08,0.0,top
C5,113.815589,-51.45,270.0,top
C6,116.165589,-54.287279,180.0,top
C7,116.73,-59.19,180.0,top
C8,111.6,-62.955,90.0,top
C9,103.175,-57.65,0.0,top
D1,103.18,-60.54,0.0,top
D2,103.175,-58.49,0.0,top
D3,103.175,-59.51,0.0,top
D4,117.885,-58.31,180.0,top
D5,117.885,-57.29,180.0,top
D6,117.885,-56.27,180.0,top
D7,119.92,-41.97,0.0,top
J1,112.02,-37.74,180.0,top
J2,120.7,-56.74,0.0,top
J3,100.38,-51.66,0.0,top
R1,111.065589,-50.7,270.0,top
R10,116.16,-56.27,0.0,top
R11,115.175,-43.475,0.0,top
R12,106.900589,-43.062279,180.0,top
R2,112.065589,-50.7,270.0,top
R3,107.01,-45.15,180.0,top
R4,110.525,-63.2,90.0,top
R5,104.9,-60.54,180.0,top
R6,104.89,-58.49,180.0,top
R7,104.9,-59.51,180.0,top
R8,116.16,-58.3,0.0,top
R9,116.16,-57.29,0.0,top
SW1,112.04,-64.745,0.0,bottom
SW2,106.74,-46.155,180.0,bottom
U1,110.415589,-57.187279,90.0,top
U2,106.27,-49.995,90.0,top
U3,119.2,-40.59,0.0,bottom
Y1,107.58,-65.83,180.0,top
